--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE251      9      0.4444     0.6667     -0.6348    2.1111    3.2146    
SITE253      25     0.4000     0.7600     0.0200     1.6400    2.5219    
SITE256      5      0.6000     0.8000     0.2672     1.0000    1.8439    
SITE258      10     0.3000     0.8000     -0.2209    1.7000    2.5100    
SITE259      6      0.6667     0.8333     0.8088     0.8333    1.4720    
SITE261      13     0.4615     0.6154     0.1499     1.8462    2.7175    
SITE262      18     0.5556     0.7778     0.4793     1.0556    1.7159    
SITE268      12     0.4167     0.7500     0.3915     1.4167    2.1794    
SITE272      12     0.3333     0.7500     -0.2826    2.1667    3.3166    
SITE276      10     0.6000     0.9000     0.2548     0.9000    1.7607    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE309      12     0.5000     0.6667     0.5299     1.4167    2.1409    
SITE310      5      0.6000     0.8000     0.2647     1.2000    2.0000    
SITE322      8      0.5000     0.6250     -0.7333    1.8750    2.8504    
SITE323      8      0.6250     0.7500     0.1786     1.2500    2.3979    
SITE324      14     0.4286     0.5714     -0.6700    2.5000    3.7891    
SITE325      6      0.3333     0.6667     -0.8818    3.3333    4.7958    
SITE327      14     0.5000     0.7857     0.1781     1.4286    2.5355    
SITE330      11     0.5455     0.8182     0.0128     1.4545    2.5226    
SITE331      6      0.6667     0.8333     0.7692     0.6667    1.2910    
SITE332      8      0.3750     0.6250     -1.1818    1.6250    2.2079    
SITE333      4      0.5000     0.7500     -0.8605    1.5000    2.2361    
SITE334      9      0.5556     0.8889     0.6889     0.7778    1.2910    
SITE336      4      0.5000     1.0000     0.2727     1.0000    1.4142    
SITE339      8      0.1250     0.5000     -0.0028    2.1250    2.3717    
SITE340      9      0.3333     0.5556     -0.4585    2.2222    3.0185    
SITE343      9      0.5556     0.5556     -0.3404    1.7778    2.7889    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      7      0.7143     0.8571     0.7619     0.5714    1.1952    
SITE355      8      0.5000     0.6250     -0.0787    2.0000    3.2404    
SITE358      11     0.4545     0.8182     0.3475     1.0909    1.5954    
SITE360      7      0.4286     0.8571     0.5110     1.0000    1.6475    
SITE362      11     0.2727     0.5455     -0.5307    2.8182    4.0113    
SITE363      9      0.6667     0.7778     -0.1800    1.2222    2.5604    
SITE366      9      0.5556     0.7778     0.5248     1.1111    1.9437    
SITE367      7      0.5714     0.5714     0.2789     1.5714    2.4202    
SITE375      5      0.8000     0.8000     0.2500     1.2000    2.6833    
SITE376      8      0.2500     0.5000     -0.3913    2.2500    2.8284    
SITE377      10     0.5000     0.8000     0.5491     1.0000    1.6733    
SITE380      6      0.6667     0.8333     0.4369     1.1667    2.1985    
SITE385      8      0.8750     0.8750     0.3571     0.7500    2.1213    
SITE386      10     0.6000     0.8000     0.3953     1.1000    1.9748    
SITE389      10     0.7000     0.8000     0.4072     1.0000    2.1448    
SITE397      12     0.5000     0.8333     0.6585     0.9167    1.5546    
SITE401      5      0.8000     0.8000     -0.2500    1.2000    2.6833    
SITE407      5      0.8000     0.8000     -0.2500    1.2000    2.6833    
SITE411      26     0.3077     0.6923     -0.4243    1.8846    2.5495    
SITE417      21     0.4286     0.7619     0.3356     1.3810    2.0354    
SITE420      11     0.2727     0.6364     -0.6540    2.0909    2.7469    
SITE421      8      0.3750     0.6250     -1.0294    2.1250    2.9368    
SITE422      9      0.3333     0.7778     0.1711     1.4444    1.9720    
SITE424      5      0.8000     0.8000     -0.2895    1.4000    3.1305    
SITE426      13     0.5385     0.7692     0.2200     1.3077    2.2014    
SITE430      7      0.5714     0.8571     0.6254     1.1429    2.3299    
SITE434      9      0.3333     0.4444     0.2059     2.0000    2.5820    
SITE435      9      0.4444     0.5556     -0.3006    2.2222    3.3333    
SITE437      15     0.4000     0.5333     -0.4212    2.2000    3.0221    
SITE438      14     0.1429     0.6429     -0.7480    2.2857    2.8031    
