--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE75       13     0.2308     0.6154     -0.1112    2.0769    2.6747    
SITE76       7      0.2857     0.4286     -1.6678    4.5714    5.7817    
SITE78       11     0.2727     0.4545     -0.9475    3.2727    4.4313    
SITE80       6      0.5000     0.5000     -0.7918    2.8333    4.2622    
SITE81       10     0.4000     0.7000     -0.2221    2.1000    3.0496    
SITE84       16     0.1875     0.6875     -0.1525    1.7500    2.0616    
SITE86       10     0.2000     0.7000     -0.0526    2.0000    2.6833    
SITE94       21     0.3810     0.5714     -0.8821    2.3810    3.4778    
SITE95       6      0.3333     0.3333     -1.1782    3.8333    5.2122    
SITE96       6      0.1667     0.5000     -0.0303    2.5000    2.9155    
SITE97       7      0.4286     0.4286     -1.3018    4.8571    6.4587    
SITE98       20     0.1500     0.4500     -1.2206    3.1000    3.9115    
SITE104      12     0.2500     0.6667     -0.4551    1.9167    2.5331    
SITE106      14     0.2143     0.4286     -1.2604    3.4286    4.2088    
SITE111      15     0.2000     0.4667     -0.1029    2.4000    3.0551    
SITE115      17     0.1765     0.4706     -1.4337    3.0588    3.9853    
SITE116      14     0.2143     0.5714     -0.7393    2.6429    3.6154    
SITE117      24     0.2083     0.6667     -0.8769    2.1250    2.8650    
SITE119      12     0.2500     0.5833     -0.0309    2.3333    2.8868    
SITE125      8      0.2500     0.6250     -0.3112    2.3750    3.3354    
SITE127      16     0.1875     0.7500     0.0000     1.7500    2.2361    
SITE128      18     0.1667     0.5000     -0.6288    2.6111    3.3082    
SITE129      15     0.2000     0.4000     -1.3966    3.4667    4.3665    
SITE132      8      0.2500     0.7500     -0.3112    2.1250    3.3354    
SITE134      9      0.3333     0.3333     -1.4254    3.2222    4.2032    
SITE156      17     0.2353     0.4118     -0.5203    2.5882    3.2176    
SITE160      10     0.3000     0.6000     -0.5239    2.3000    3.2404    
SITE161      14     0.2857     0.5714     -0.3125    2.1429    2.9277    
SITE165      7      0.2857     0.5714     -0.0973    2.2857    2.8785    
SITE167      11     0.2727     0.6364     -0.8333    2.2727    3.3710    
SITE168      10     0.2000     0.4000     -1.1332    3.7000    4.5277    
SITE169      14     0.2857     0.4286     -0.8232    2.7143    3.4017    
SITE171      14     0.2857     0.5714     -1.0351    2.5714    3.6056    
SITE178      12     0.2500     0.6667     -0.0213    1.8333    2.3094    
SITE179      27     0.1852     0.6296     -0.0294    1.9630    2.4114    
SITE186      19     0.2105     0.4737     -0.4316    2.7895    3.5467    
SITE193      15     0.3333     0.5333     -0.9733    3.0667    4.3665    
SITE194      18     0.2222     0.8333     -0.0727    1.6667    2.1344    
SITE198      14     0.3571     0.6429     -0.9221    2.1429    3.0938    
SITE203      33     0.3030     0.7576     -0.0005    1.7576    2.6742    
SITE205      24     0.1667     0.5417     -0.3963    2.4167    2.9721    
SITE207      12     0.2500     0.8333     -0.4054    1.5833    2.3274    
SITE208      13     0.1538     0.3846     -1.3653    3.6923    4.4549    
SITE209      8      0.2500     0.7500     -0.2477    1.8750    2.5249    
SITE212      9      0.2222     0.2222     -2.4187    4.1111    4.8876    
SITE215      33     0.3636     0.5758     -0.8755    2.6364    3.7699    
SITE217      16     0.3125     0.5625     -0.9259    2.5000    3.6056    
SITE219      15     0.2000     0.4667     -0.0204    2.4000    2.8284    
SITE229      14     0.2143     0.4286     -0.0644    2.4286    2.9032    
SITE230      11     0.2727     0.5455     -0.5777    2.8182    4.0564    
SITE231      7      0.1429     0.2857     -3.0833    5.2857    6.0828    
SITE234      11     0.2727     0.7273     -0.0239    1.3636    1.7838    
SITE239      15     0.1333     0.4667     0.0000     2.4000    2.8284    
SITE240      14     0.2143     0.4286     -1.2518    3.1429    4.1748    
SITE241      25     0.2800     0.6000     -0.5833    2.4400    3.4928    
SITE244      12     0.1667     0.4167     -1.3352    3.5833    4.5185    
SITE245      15     0.2667     0.4667     -1.4923    3.5333    4.6404    
SITE251      11     0.1818     0.5455     -0.0416    2.1818    2.7303    
SITE253      30     0.2000     0.5667     -0.9583    2.6333    3.4785    
SITE256      5      0.2000     0.6000     -0.4224    2.2000    2.5690    
SITE258      12     0.2500     0.5833     -0.6667    2.3333    3.1623    
SITE259      9      0.3333     0.3333     -1.3491    3.8889    5.1316    
SITE261      15     0.2667     0.5333     -0.9804    3.0000    4.0743    
SITE262      20     0.2500     0.7500     -0.1475    1.8000    2.5100    
SITE268      13     0.2308     0.4615     -0.7346    2.9231    3.7826    
SITE272      13     0.1538     0.3077     -2.1778    4.3077    5.2035    
SITE276      12     0.2500     0.7500     -0.0019    1.4167    1.8930    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.3077     0.3846     -1.3287    3.4615    4.5826    
SITE310      7      0.2857     0.4286     -1.4144    3.2857    4.2929    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.4444     0.5556     -0.9565    2.4444    3.4960    
SITE324      17     0.2941     0.4118     -1.4581    3.5882    4.6590    
SITE325      8      0.3750     0.6250     -0.5435    3.0000    4.2131    
SITE327      16     0.2500     0.3125     -2.0084    4.1875    5.1660    
SITE330      14     0.2857     0.5000     -1.3029    2.8571    3.7985    
SITE331      7      0.4286     0.4286     -1.0811    2.8571    3.9641    
SITE332      9      0.4444     0.6667     -0.9286    1.4444    2.0817    
SITE333      5      0.6000     0.8000     -0.4167    1.0000    1.8439    
SITE334      12     0.3333     0.3333     -1.5410    3.2500    4.1733    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.2500     0.3750     -1.7409    3.1250    3.9211    
SITE340      12     0.3333     0.5000     -1.1620    2.5833    3.5237    
SITE343      12     0.3333     0.3333     -1.5228    3.0833    3.9686    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.5556     0.6667     -0.4839    2.1111    3.6968    
SITE358      14     0.3571     0.5714     -0.8828    2.2857    3.3381    
SITE360      8      0.5000     0.7500     -0.5045    1.6250    2.8062    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.3333     0.4167     -1.4363    3.2500    4.2328    
SITE367      8      0.6250     0.6250     -0.4620    1.8750    3.3354    
SITE375      6      0.5000     0.6667     -0.5768    2.1667    3.5824    
SITE376      9      0.3333     0.4444     -1.1852    2.6667    3.6209    
SITE377      12     0.4167     0.5833     -0.8182    2.2500    3.3541    
SITE380      8      0.3750     0.3750     -1.2425    3.1250    4.1982    
SITE383      4      0.5000     0.5000     -0.8889    2.0000    2.9155    
SITE385      9      0.2222     0.4444     -1.4464    3.0000    3.9016    
SITE386      11     0.4545     0.6364     -0.8096    2.2727    3.3979    
SITE388      7      0.2857     0.5714     -1.2427    2.2857    3.0706    
