--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE240      14     0.2857     0.7143     0.0679     1.9286    2.6859    
SITE241      25     0.2800     0.6000     -0.5833    2.4400    3.4928    
SITE244      12     0.1667     0.3333     -1.9452    4.0833    5.0744    
SITE245      15     0.2667     0.4667     -1.4228    3.4667    4.5753    
SITE251      11     0.1818     0.3636     -1.7564    3.5455    4.4415    
SITE253      30     0.3000     0.6000     -0.6993    2.3667    3.2404    
SITE256      5      0.2000     0.6000     -0.5517    2.0000    2.6833    
SITE258      12     0.2500     0.6667     -0.1111    2.0000    2.5820    
SITE259      9      0.3333     0.3333     -1.3491    3.8889    5.1316    
SITE261      15     0.3333     0.6667     -0.4316    2.4000    3.4641    
SITE262      20     0.3000     0.7500     -0.5483    1.9000    2.9155    
SITE268      13     0.2308     0.3846     -1.1822    3.3846    4.2426    
SITE272      13     0.2308     0.5385     -0.0562    2.3846    3.0000    
SITE276      12     0.1667     0.3333     -2.6583    3.0833    3.6171    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.3077     0.3846     -1.3287    3.4615    4.5826    
SITE310      7      0.2857     0.7143     -0.5909    2.4286    3.4847    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.4444     0.5556     -0.9565    2.4444    3.4960    
SITE324      17     0.1765     0.5294     -0.4122    2.8235    3.5314    
SITE325      8      0.3750     0.6250     -0.8913    3.2500    4.6637    
SITE327      16     0.2500     0.3750     -1.5152    3.6875    4.7236    
SITE330      14     0.2857     0.5000     -1.3029    2.8571    3.7985    
SITE331      7      0.4286     0.4286     -1.0811    2.8571    3.9641    
SITE332      9      0.4444     0.6667     -0.9286    1.4444    2.0817    
SITE333      5      0.6000     0.8000     -0.4167    1.0000    1.8439    
SITE334      12     0.3333     0.3333     -1.5410    3.2500    4.1733    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.4000     0.8000     -1.1250    1.4000    1.8439    
SITE339      8      0.3750     0.5000     -1.5404    2.7500    3.7749    
SITE340      12     0.3333     0.5000     -1.1620    2.5833    3.5237    
SITE343      12     0.4167     0.5000     -0.3215    2.0833    2.8723    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.5556     0.6667     -0.4839    2.1111    3.6968    
SITE358      14     0.3571     0.5714     -0.8828    2.2857    3.3381    
SITE360      8      0.5000     0.7500     -0.5045    1.6250    2.8062    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
