--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE251      9      0.5556     0.6667     -0.5996    1.8889    3.1798    
SITE253      25     0.2400     0.8400     0.3651     1.4800    2.0298    
SITE256      5      0.4000     0.6000     -1.8017    2.6000    3.6056    
SITE258      10     0.4000     0.8000     -0.3953    1.6000    2.6833    
SITE259      6      0.6667     0.8333     0.2206     1.5000    2.9721    
SITE261      13     0.3077     0.6923     -0.3195    2.2308    3.3855    
SITE262      18     0.3889     0.7778     0.3908     1.3333    1.8559    
SITE268      12     0.6667     0.9167     0.7011     0.6667    1.5275    
SITE272      12     0.5000     0.8333     0.3393     1.3333    2.3805    
SITE276      10     0.5000     0.8000     0.4231     1.0000    1.5492    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE309      12     0.5000     0.7500     0.4615     1.4167    2.2913    
SITE310      5      0.8000     0.8000     -0.3235    1.2000    2.6833    
SITE322      8      0.6250     0.8750     0.5467     0.8750    1.4577    
SITE323      8      0.7500     0.8750     0.3393     0.8750    2.1506    
SITE324      14     0.5000     0.7857     0.2024     1.4286    2.6186    
SITE325      6      0.6667     1.0000     0.8909     0.6667    1.1547    
SITE327      14     0.5000     0.7857     -0.1781    1.6429    3.0355    
SITE330      11     0.4545     0.8182     0.2385     1.4545    2.2156    
SITE331      6      0.5000     0.5000     0.2154     1.6667    2.3805    
SITE332      8      0.5000     0.7500     -0.5105    1.1250    1.8371    
SITE333      4      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE334      9      0.4444     0.5556     -0.6797    2.1111    3.0000    
SITE336      4      0.7500     1.0000     0.6364     0.5000    1.0000    
SITE339      8      0.2500     0.3750     -0.4039    2.3750    2.8062    
SITE340      9      0.3333     0.6667     0.2885     1.5556    2.1082    
SITE343      9      0.6667     0.7778     0.6362     0.7778    1.4530    
SITE345      7      0.4286     0.8571     0.6140     1.0000    1.4639    
SITE353      7      0.7143     1.0000     0.9524     0.2857    0.5345    
SITE355      8      0.6250     0.8750     0.3451     1.1250    2.5249    
SITE358      11     0.4545     0.8182     0.4174     1.0000    1.5076    
SITE360      7      0.4286     0.8571     0.4338     1.1429    1.7728    
SITE362      11     0.5455     0.7273     0.4898     1.3636    2.3160    
SITE363      9      0.5556     0.6667     0.4400     1.1111    1.7638    
SITE366      9      0.4444     0.8889     0.6786     1.0000    1.5986    
SITE367      7      0.7143     0.8571     0.7714     0.7143    1.3628    
SITE375      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE376      8      0.3750     0.6250     0.1522     1.6250    2.2079    
SITE377      10     0.5000     0.9000     0.7424     0.8000    1.2649    
SITE380      6      0.5000     0.6667     0.4951     1.3333    2.0817    
SITE385      8      0.7500     0.7500     0.1964     1.1250    2.3717    
SITE386      10     0.7000     0.9000     0.7364     0.7000    1.3038    
SITE389      10     0.7000     0.8000     0.4072     1.0000    2.1448    
SITE397      12     0.4167     0.8333     0.5761     1.1667    1.7321    
SITE401      5      1.0000     1.0000     1.0000     0.0000    0.0000    
