--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE245      14     0.0714     0.2857     -1.0219    3.6429    4.1144    
SITE251      9      0.2222     0.3333     -3.1484    4.2222    5.1208    
SITE253      25     0.1600     0.6000     -0.5101    2.3600    3.1305    
SITE256      5      0.2000     0.6000     -1.4569    2.6000    3.3764    
SITE258      10     0.3000     0.6000     -0.8605    2.2000    3.0984    
SITE259      6      0.5000     0.5000     -1.2794    3.5000    5.0827    
SITE261      13     0.2308     0.5385     -0.7357    2.9231    3.8829    
SITE262      18     0.3889     0.6111     -0.6507    2.0000    3.0551    
SITE268      12     0.2500     0.5000     -0.7722    2.8333    3.7193    
SITE272      12     0.2500     0.5833     -1.1182    3.0000    4.2622    
SITE276      10     0.2000     0.3000     -2.4615    3.2000    3.7947    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE309      12     0.3333     0.4167     -1.2564    3.5000    4.6904    
SITE310      5      0.0000     0.6000     -2.0882    3.6000    4.0988    
SITE322      8      0.5000     0.6250     -0.6533    1.7500    2.7839    
SITE323      8      0.5000     0.5000     -0.8929    2.5000    3.6401    
SITE324      14     0.3571     0.4286     -1.2018    3.2143    4.3507    
SITE325      6      0.3333     0.6667     -0.4455    3.0000    4.2032    
SITE327      14     0.2143     0.2857     -2.5890    4.5000    5.2982    
SITE330      11     0.2727     0.4545     -1.4821    3.0909    4.0000    
SITE331      6      0.3333     0.3333     -1.5385    3.3333    4.2817    
SITE332      8      0.3750     0.7500     -0.7343    1.3750    1.9685    
SITE333      4      0.5000     0.7500     -0.5814    1.2500    2.0616    
SITE334      9      0.4444     0.4444     -1.1152    2.4444    3.3665    
SITE336      4      0.5000     0.7500     -0.8182    1.5000    2.2361    
SITE339      8      0.3750     0.5000     -1.5404    2.7500    3.7749    
SITE340      9      0.3333     0.5556     -1.0455    2.5556    3.5746    
SITE343      9      0.6667     0.6667     -0.1681    1.4444    2.6034    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE355      8      0.5000     0.6250     -0.5795    2.3750    3.9211    
SITE358      11     0.3636     0.5455     -1.1208    2.0909    2.8762    
SITE360      7      0.4286     0.7143     -0.6213    1.8571    3.0000    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      9      0.5556     0.6667     -0.5000    1.6667    2.8868    
SITE366      9      0.4444     0.5556     -0.9705    2.7778    3.9581    
SITE367      7      0.5714     0.5714     -0.5653    2.1429    3.5657    
SITE375      5      0.6000     0.8000     -0.4167    2.0000    3.6878    
SITE376      8      0.5000     0.6250     -0.8696    2.0000    3.2787    
SITE377      10     0.3000     0.5000     -1.1739    2.7000    3.6742    
SITE380      6      0.3333     0.3333     -1.4272    3.5000    4.5644    
SITE385      8      0.3750     0.6250     -1.0000    2.5000    3.7417    
SITE386      10     0.4000     0.6000     -0.9690    2.5000    3.5637    
SITE389      10     0.6000     0.7000     -0.4175    1.8000    3.3166    
SITE397      12     0.1667     0.4167     -1.6497    3.4167    4.3301    
SITE401      5      0.8000     0.8000     -0.2500    1.2000    2.6833    
SITE407      5      0.8000     0.8000     -0.2500    1.2000    2.6833    
SITE411      26     0.2692     0.5385     -0.8457    2.2692    2.9023    
SITE417      21     0.2381     0.6190     -0.0004    1.9524    2.4976    
SITE420      11     0.1818     0.5455     -1.6304    2.7273    3.4641    
SITE421      8      0.3750     0.6250     -0.9412    2.0000    2.8723    
SITE422      9      0.3333     0.6667     -0.2553    1.6667    2.4267    
SITE424      5      0.6000     0.6000     -0.5263    2.0000    3.4059    
SITE426      13     0.3846     0.4615     -1.1667    2.6923    3.6690    
SITE430      7      0.4286     0.5714     -0.9521    3.7143    5.3184    
SITE434      9      0.2222     0.4444     -0.0721    2.3333    3.0000    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      15     0.1333     0.4000     -0.6701    2.8667    3.2762    
SITE438      14     0.1429     0.8571     0.2690     1.5714    1.8127    
SITE439      12     0.2500     0.5000     -0.2406    2.3333    3.0277    
SITE442      16     0.2500     0.5625     -0.7143    2.8750    3.8730    
SITE446      18     0.2778     0.7222     -0.1900    2.3889    3.2575    
SITE454      6      0.5000     0.5000     -0.8750    2.3333    3.4157    
SITE455      7      0.1429     0.1429     -3.1516    5.0000    5.6442    
SITE463      5      0.4000     0.6000     -1.0103    2.8000    3.9497    
SITE464      6      0.5000     0.5000     -0.8710    3.0000    4.3970    
SITE468      5      0.2000     0.4000     -2.0519    3.6000    4.3359    
SITE471      15     0.3333     0.4000     -1.1962    3.3333    4.5166    
SITE474      6      0.3333     0.5000     0.0667     1.8333    2.4152    
SITE477      9      0.4444     0.5556     -0.8616    2.5556    3.7565    
SITE483      8      0.2500     0.3750     -2.0403    3.8750    4.7302    
SITE485      9      0.2222     0.2222     -2.8281    5.5556    6.4636    
SITE486      5      0.6000     0.6000     -0.6532    1.8000    2.8636    
SITE490      11     0.2727     0.4545     -1.4062    2.7273    3.5675    
SITE492      5      0.4000     0.6000     -0.3571    1.4000    1.9494    
SITE506      8      0.5000     0.5000     -0.6583    2.1250    3.3727    
SITE508      24     0.2917     0.4583     -1.3167    3.3750    4.4768    
SITE520      15     0.3333     0.4000     -1.2948    3.1333    4.1713    
SITE521      15     0.2667     0.4000     -1.7123    4.4000    5.5377    
SITE522      15     0.4000     0.4667     -1.1103    2.7333    3.7683    
SITE528      9      0.4444     0.5556     -0.9423    2.3333    3.3500    
SITE538      7      0.2857     0.2857     -1.7396    4.7143    5.9161    
SITE539      5      0.4000     0.4000     -1.4336    3.6000    4.6904    
SITE541      8      0.3750     0.5000     -0.9257    3.3750    4.6771    
SITE542      7      0.1429     0.1429     -1.9316    4.5714    5.2915    
SITE545      8      0.2500     0.6250     -0.2228    2.3750    3.2210    
SITE557      16     0.3125     0.5000     -0.8534    2.6875    3.6657    
SITE561      14     0.2143     0.5714     -0.4418    2.6429    3.6154    
SITE563      9      0.2222     0.6667     -0.3378    2.5556    3.3166    
SITE564      7      0.2857     0.2857     -1.9321    4.5714    5.6315    
SITE569      11     0.3636     0.7273     -0.2465    1.8182    2.6968    
SITE572      7      0.2857     0.8571     -0.0640    1.7143    2.3299    
SITE574      6      0.3333     0.8333     -0.0037    1.8333    2.7386    
SITE575      14     0.2143     0.6429     -0.3509    2.1429    2.8031    
SITE577      6      0.3333     0.3333     -2.5522    3.5000    4.4535    
SITE578      7      0.4286     0.7143     -1.9167    1.8571    2.8031    
SITE581      9      0.3333     0.4444     -0.4385    2.2222    2.9439    
SITE584      7      0.4286     0.5714     -1.1803    1.7143    2.3299    
SITE587      8      0.3750     0.5000     -1.0864    3.3750    4.6771    
SITE593      10     0.4000     0.8000     -0.2416    1.8000    2.7203    
SITE595      16     0.3125     0.6250     -0.4241    2.1875    3.0923    
SITE597      7      0.2857     0.5714     -0.0523    2.0000    2.5635    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.2500     0.2500     -2.5556    5.7500    6.7823    
SITE602      10     0.3000     0.8000     -0.1389    1.8000    2.8636    
SITE606      13     0.3077     0.6154     -0.8233    2.9231    4.3501    
SITE607      9      0.2222     0.2222     -2.3395    4.5556    5.3645    
SITE610      8      0.2500     0.3750     -0.9329    3.0000    3.6742    
SITE612      13     0.2308     0.3077     -1.7841    3.5385    4.4202    
SITE616      11     0.3636     0.7273     -0.2443    2.0909    3.2891    
SITE617      10     0.2000     0.6000     -0.1064    2.4000    3.2249    
SITE620      15     0.2000     0.5333     -0.3676    2.6667    3.5590    
SITE622      10     0.3000     0.7000     -0.0063    1.8000    2.5298    
SITE623      8      0.2500     1.0000     0.0000     1.0000    1.2247    
SITE624      7      0.2857     0.8571     -0.1136    1.5714    2.2361    
SITE626      7      0.2857     0.7143     -1.5409    3.0000    4.6445    
SITE629      10     0.2000     0.6000     -0.1081    2.3000    2.8810    
SITE639      10     0.2000     0.2000     -2.6318    4.6000    5.4037    
SITE658      12     0.1667     0.3333     -1.3441    3.5833    4.5000    
SITE683      7      0.7143     0.8571     0.1727     0.7143    1.3628    
SITE684      13     0.1538     0.4615     -1.5924    3.5385    4.5742    
SITE692      13     0.2308     0.6923     -0.3141    2.1538    2.9352    
SITE719      14     0.2857     0.7857     -0.0220    1.7857    2.4349    
SITE721      10     0.2000     0.6000     -0.0011    2.5000    3.0822    
SITE722      13     0.3077     0.4615     -2.6080    3.3077    4.4463    
SITE725      7      0.1429     0.5714     -0.8653    2.7143    3.5657    
SITE734      10     0.3000     0.7000     -0.2204    1.9000    2.5884    
SITE735      13     0.0000     0.3846     -1.2759    3.7692    4.3235    
SITE739      10     0.0000     0.3000     -2.2319    4.5000    5.0498    
SITE747      27     0.1852     0.5926     -0.1161    2.1111    2.7148    
SITE760      29     0.8621     0.8966     -0.0410    0.5172    1.5647    
SITE786      9      0.2222     0.2222     -2.6759    5.6667    6.6416    
SITE801      7      0.2857     0.7143     -0.2801    2.1429    3.3594    
SITE802      8      0.3750     0.6250     -0.7670    2.6250    3.9843    
SITE821      9      0.4444     0.5556     -0.7117    2.7778    4.2032    
SITE831      9      0.2222     0.3333     -1.7561    4.0000    5.0111    
SITE844      6      0.3333     0.6667     -0.0330    1.8333    2.7988    
SITE852      13     0.1538     0.6154     -0.4506    2.5385    3.1744    
--------------------------------------------------------------------------------------------------------------
OVERALL      2655   0.2806     0.5691     -0.5936    2.5883    3.5854    
--------------------------------------------------------------------------------------------------------------
