--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE241      25     0.5200     0.7200     0.2681     1.4000    2.3749    
SITE244      12     0.3333     0.7500     0.5997     1.3333    1.8708    
SITE245      15     0.0667     0.6000     0.2207     2.2000    2.5949    
SITE251      11     0.2727     0.7273     0.3141     1.6364    2.2156    
SITE253      30     0.2000     0.7000     -0.2408    2.0667    2.7689    
SITE256      5      0.2000     0.6000     -1.5862    2.4000    3.4641    
SITE258      12     0.2500     0.6667     -0.5000    2.1667    3.0000    
SITE259      9      0.6667     0.7778     -0.1597    1.8889    3.6056    
SITE261      15     0.5333     0.7333     0.1729     1.4667    2.6331    
SITE262      20     0.3500     0.7500     -0.2295    1.7500    2.5981    
SITE268      13     0.2308     0.6154     0.1980     2.0000    2.5720    
SITE272      13     0.3846     0.7692     -0.0833    1.8462    3.0382    
SITE276      12     0.2500     0.6667     -0.7709    2.0000    2.5166    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.8000     0.2188     1.6000    2.8284    
SITE309      13     0.4615     0.6923     0.1043     1.7692    2.8420    
SITE310      7      0.2857     0.5714     -1.1898    3.0000    4.0883    
SITE322      9      0.5556     0.6667     0.1298     1.2222    1.9720    
SITE323      9      0.5556     0.7778     0.1107     1.3333    2.3570    
SITE324      17     0.1765     0.7647     0.1873     1.8824    2.6789    
SITE325      8      0.5000     0.8750     0.6630     1.1250    1.9685    
SITE327      16     0.4375     0.8125     0.5209     1.2500    2.0616    
SITE330      14     0.3571     0.7143     -0.1743    1.7857    2.7124    
SITE331      7      0.7143     0.7143     -0.2297    1.5714    3.0472    
SITE332      9      0.5556     0.6667     -2.0659    1.5556    2.6247    
SITE333      5      0.8000     1.0000     0.6667     0.4000    0.8944    
SITE334      12     0.5000     0.5833     -0.0942    1.8333    2.7386    
SITE336      5      0.4000     0.6000     -3.8438    2.4000    3.5214    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.3750     0.6250     -0.3148    1.8750    2.7157    
SITE340      12     0.2500     0.5000     -0.5381    2.3333    2.9721    
SITE343      12     0.3333     0.4167     -0.2948    2.2500    2.8431    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.6667     0.7778     -0.3753    1.7778    3.5590    
SITE358      14     0.4286     0.5714     -0.2793    1.8571    2.7516    
SITE360      8      0.6250     1.0000     0.7851     0.6250    1.0607    
SITE361      7      0.5714     0.8571     0.6475     0.8571    1.4142    
SITE362      11     0.3636     0.8182     0.7752     1.0909    1.5374    
SITE363      11     0.5455     0.7273     0.3813     1.0909    1.8091    
SITE366      12     0.4167     0.5833     -0.3371    2.1667    3.1358    
SITE367      8      0.7500     0.8750     0.8357     0.5000    1.1180    
SITE375      6      0.6667     0.6667     0.0785     1.5000    2.7386    
SITE376      9      0.2222     0.6667     0.2407     1.6667    2.1344    
SITE377      12     0.3333     0.7500     0.2189     1.5000    2.1985    
SITE380      8      0.5000     0.6250     -0.0338    1.8750    2.8504    
SITE383      4      0.2500     0.5000     -0.2222    2.0000    2.3452    
SITE385      9      0.4444     0.6667     -0.2321    1.8889    2.7689    
SITE386      11     0.6364     0.9091     0.7435     0.7273    1.2792    
SITE388      7      0.2857     0.5714     -0.2233    1.7143    2.2678    
SITE389      11     0.6364     0.7273     -0.3657    1.6364    3.1623    
SITE397      14     0.4286     0.6429     0.0896     1.7143    2.5355    
SITE401      7      0.5714     0.7143     0.4845     1.0000    1.6475    
SITE404      6      0.5000     0.8333     0.5750     1.1667    1.6833    
SITE406      6      0.1667     0.6667     -0.7143    3.0000    3.9581    
SITE407      7      0.5714     0.8571     -0.2667    1.1429    2.3299    
SITE411      29     0.2759     0.7241     -0.1213    1.6552    2.2438    
SITE417      24     0.3333     0.7500     -0.1536    1.7083    2.6536    
SITE420      15     0.2667     0.7333     -0.3037    1.8000    2.4900    
SITE421      11     0.3636     0.6364     -0.3305    2.1818    3.1909    
SITE422      13     0.2308     0.7692     0.4165     1.4615    1.8187    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.4667     0.7333     0.2318     1.4667    2.2509    
SITE430      9      0.4444     0.6667     -0.0038    2.2222    3.6209    
SITE434      12     0.5000     0.7500     0.2805     1.4167    2.2174    
SITE435      9      0.3333     0.6667     0.5188     1.4444    2.0276    
SITE437      18     0.1667     0.5000     -0.7802    2.7222    3.3912    
SITE438      15     0.2000     0.7333     -0.4098    1.8667    2.5820    
SITE439      13     0.4615     0.6923     0.1981     1.6154    2.5570    
SITE442      19     0.4211     0.7895     0.4468     1.3158    2.0647    
SITE443      6      0.3333     0.5000     -0.8273    3.1667    4.6007    
SITE446      18     0.3889     0.6111     -1.2991    3.0556    4.5277    
SITE447      5      0.6000     1.0000     0.8131     0.8000    1.2649    
SITE454      7      0.5714     0.7143     -0.2143    1.5714    2.6992    
SITE455      9      0.4444     0.7778     0.4244     1.4444    2.4721    
SITE460      4      0.5000     0.7500     0.3158     1.5000    2.5495    
SITE461      5      0.2000     0.6000     -0.6295    3.0000    3.8210    
SITE463      6      0.5000     1.0000     0.8318     0.8333    1.2247    
SITE464      8      0.6250     0.7500     0.2403     1.5000    2.8723    
SITE468      6      0.5000     0.5000     -2.8036    3.3333    4.8648    
SITE469      4      0.7500     0.7500     -2.2727    0.7500    1.5000    
SITE471      17     0.4118     0.5882     -0.3331    2.3529    3.5147    
SITE474      6      0.5000     0.8333     0.4400     1.1667    1.8708    
SITE477      14     0.5000     0.6429     0.3628     1.5000    2.2520    
SITE483      9      0.4444     0.8889     0.6892     1.0000    1.5986    
SITE485      10     0.4000     0.8000     0.6748     1.2000    1.7889    
SITE486      6      0.6667     0.8333     0.3818     0.8333    1.6833    
SITE490      13     0.5385     0.6923     0.0171     1.4615    2.4019    
SITE492      6      0.6667     1.0000     0.6629     0.5000    0.9129    
SITE506      10     0.5000     0.6000     -0.1715    1.7000    2.6268    
SITE508      27     0.4815     0.7407     0.2897     1.5185    2.4419    
SITE510      6      0.5000     0.5000     -0.7253    2.1667    3.3417    
SITE520      16     0.4375     0.6875     0.4582     1.3750    1.9685    
SITE521      17     0.3529     0.8235     0.6562     1.4118    1.9704    
SITE522      18     0.6111     0.7222     0.1105     1.5000    2.7386    
SITE528      11     0.4545     0.5455     -1.0647    2.2727    3.2891    
SITE538      7      0.5714     0.5714     -0.0511    2.2857    3.6645    
SITE539      7      0.2857     0.5714     -0.4303    2.4286    3.4847    
SITE540      6      0.5000     0.6667     0.2416     1.8333    2.7386    
SITE541      9      0.4444     0.5556     0.1595     2.2222    3.2660    
SITE542      8      0.5000     0.7500     0.6667     1.2500    1.9365    
SITE545      9      0.4444     0.6667     -0.0128    1.8889    2.9627    
SITE547      7      0.8571     0.8571     0.8704     0.5714    1.5119    
SITE556      6      0.3333     0.6667     0.4271     1.6667    2.4495    
SITE557      19     0.3684     0.7368     0.1134     1.7895    2.6157    
SITE561      15     0.1333     0.6000     -0.3118    2.4667    3.4351    
SITE563      10     0.6000     1.0000     0.9085     0.5000    0.8367    
SITE564      9      0.3333     0.8889     0.7128     1.2222    1.7321    
SITE568      7      0.4286     0.7143     0.5783     1.1429    1.6903    
SITE569      11     0.4545     0.7273     0.1898     1.4545    2.1742    
SITE572      8      0.6250     0.8750     0.7635     0.8750    1.4577    
SITE574      9      0.2222     0.8889     0.2169     1.8889    2.7285    
SITE575      15     0.2667     0.4667     -1.0806    2.8000    3.7417    
SITE577      9      0.5556     0.7778     0.1630     1.6667    2.9250    
SITE578      7      0.2857     0.4286     -4.8864    3.0000    3.9821    
SITE580      6      0.5000     0.6667     -0.8000    2.3333    3.8730    
SITE581      10     0.4000     0.7000     0.0018     1.6000    2.3664    
SITE584      8      0.7500     0.8750     0.7965     0.6250    1.2748    
SITE587      8      0.5000     0.7500     0.4516     1.5000    2.3979    
SITE593      11     0.2727     0.8182     0.0708     1.8182    2.3741    
SITE595      18     0.5000     0.7222     0.2076     1.4444    2.4267    
SITE597      8      0.5000     0.8750     0.7267     0.8750    1.3693    
SITE598      7      0.4286     0.8571     0.5139     1.0000    1.4639    
SITE601      8      0.6250     0.8750     0.6039     1.1250    2.2638    
SITE602      12     0.1667     0.7500     -0.3001    2.4167    3.4034    
SITE606      15     0.4667     0.8000     0.3287     1.4667    2.6331    
SITE607      12     0.3333     0.5833     0.2655     2.0000    2.5820    
SITE610      10     0.6000     1.0000     0.8263     0.8000    1.2649    
SITE612      14     0.3571     0.5714     -0.2542    2.0714    3.0355    
SITE616      13     0.3077     0.8462     0.6428     1.3077    1.7759    
SITE617      10     0.5000     0.9000     0.7660     1.0000    1.4832    
SITE620      17     0.3529     0.6471     0.1202     1.8824    2.7653    
SITE622      13     0.3077     0.6154     0.2424     1.7692    2.3038    
SITE623      8      0.2500     1.0000     0.5000     0.7500    0.8660    
SITE624      9      0.1111     0.4444     -0.4933    2.4444    2.8674    
SITE626      10     0.7000     0.9000     0.8476     0.6000    1.3416    
SITE629      13     0.2308     0.5385     -0.6182    2.9231    3.7003    
SITE639      11     0.1818     0.6364     0.1103     2.0909    2.6458    
SITE648      7      0.4286     0.8571     0.8273     1.0000    1.4639    
SITE658      16     0.2500     0.5625     0.2540     2.0000    2.4238    
SITE683      7      0.5714     0.8571     -0.0818    1.0000    1.5584    
SITE684      14     0.4286     0.8571     0.5304     1.3571    1.9457    
SITE692      15     0.4667     0.8000     0.4004     1.2667    1.9833    
SITE719      16     0.4375     0.7500     0.1649     1.6875    2.5125    
SITE721      12     0.2500     0.8333     0.5077     1.5833    2.1016    
SITE722      14     0.4286     0.8571     0.6220     0.9286    1.3887    
SITE725      9      0.2222     0.6667     -0.4730    2.5556    3.4801    
SITE734      13     0.3077     0.7692     -0.1319    1.9231    2.7873    
SITE735      17     0.3529     0.6471     0.3440     1.6471    2.3263    
SITE739      10     0.5000     0.6000     0.3156     1.6000    2.3238    
SITE747      30     0.3000     0.7667     -0.0608    1.8000    2.6077    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.4000     0.7000     0.4172     1.7000    2.5100    
SITE801      8      0.5000     0.8750     0.7778     0.8750    1.3693    
SITE802      9      0.3333     0.7778     0.2385     1.6667    2.4721    
SITE807      7      0.2857     0.4286     -2.1635    2.8571    3.6645    
SITE808      7      0.5714     0.7143     -0.8040    2.4286    4.0883    
SITE821      10     0.3000     0.8000     -0.5178    2.3000    3.7550    
SITE831      11     0.4545     0.6364     -0.6042    2.2727    3.6556    
SITE844      7      0.4286     0.5714     0.1688     1.7143    2.3299    
SITE852      14     0.3571     0.7857     0.3567     1.5000    2.0529    
SITE871      7      0.1429     0.7143     0.5867     1.7143    2.1381    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.3765     0.7160     0.1703     1.7200    2.6021    
--------------------------------------------------------------------------------------------------------------
