--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE241      25     0.3600     0.6800     0.1020     1.8000    2.6306    
SITE244      12     0.1667     0.5833     0.5234     1.6667    2.0412    
SITE245      15     0.4000     0.8000     0.2052     1.6667    2.6204    
SITE251      11     0.2727     0.7273     0.3903     1.6364    2.0889    
SITE253      30     0.3333     0.8667     0.3203     1.4000    2.0494    
SITE256      5      0.4000     0.8000     -0.7672    1.8000    2.8636    
SITE258      12     0.4167     0.8333     0.1667     1.3333    2.2361    
SITE259      9      0.7778     0.8889     0.4747     1.0000    2.4267    
SITE261      15     0.4000     0.6667     0.0138     1.8667    2.8752    
SITE262      20     0.2500     0.7000     -0.0200    1.8000    2.3664    
SITE268      13     0.4615     0.6923     0.2819     1.6154    2.4337    
SITE272      13     0.5385     0.6923     0.0250     1.6923    2.8823    
SITE276      12     0.5000     0.7500     -0.3049    1.3333    2.1602    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.8000     -0.0352    1.8000    3.2558    
SITE309      13     0.4615     0.7692     0.5650     1.3077    1.9807    
SITE310      7      0.4286     0.7143     -0.5160    2.1429    3.4017    
SITE322      9      0.6667     0.7778     0.3536     0.8889    1.6997    
SITE323      9      0.6667     0.8889     0.7510     0.6667    1.2472    
SITE324      17     0.4706     0.7059     0.4737     1.3529    2.1557    
SITE325      8      0.6250     0.7500     0.1848     1.6250    3.0619    
SITE327      16     0.5625     0.8750     0.1968     1.3750    2.6693    
SITE330      14     0.5714     0.7857     0.3274     1.2143    2.0529    
SITE331      7      0.5714     0.5714     0.3568     1.4286    2.2039    
SITE332      9      0.6667     0.6667     -2.6593    1.5556    2.8674    
SITE333      5      0.6000     0.6000     -1.0833    1.4000    2.2361    
SITE334      12     0.5833     0.7500     0.5258     1.0833    1.8028    
SITE336      5      0.6000     0.8000     -0.0156    1.0000    1.6125    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.2500     0.6250     0.1978     1.7500    2.1213    
SITE340      12     0.5000     0.7500     -0.1463    1.5833    2.5658    
SITE343      12     0.4167     0.5000     -0.4149    2.1667    2.9721    
SITE345      7      0.5714     0.7143     0.0993     1.2857    2.2361    
SITE353      8      0.7500     1.0000     0.8901     0.3750    0.7906    
SITE355      9      0.6667     0.7778     0.0952     1.4444    2.8868    
SITE358      14     0.4286     0.6429     -0.1103    1.7143    2.5635    
SITE360      8      0.5000     0.8750     0.5463     0.8750    1.5411    
SITE361      7      0.4286     0.7143     0.0935     1.4286    2.2678    
SITE362      11     0.5455     0.8182     0.4206     1.3636    2.4680    
SITE363      11     0.5455     0.7273     0.2609     1.1818    1.9771    
SITE366      12     0.4167     0.6667     -0.0198    1.8333    2.7386    
SITE367      8      0.7500     0.7500     0.5893     0.8750    1.7678    
SITE375      6      0.6667     0.8333     0.7338     0.8333    1.4720    
SITE376      9      0.5556     0.6667     0.2222     1.3333    2.1602    
SITE377      12     0.4167     0.5833     -0.1717    1.9167    2.6926    
SITE380      8      0.6250     0.6250     0.0298     1.6250    2.7613    
SITE383      4      0.5000     0.7500     0.2778     1.2500    1.8028    
SITE385      9      0.5556     0.6667     -0.0357    1.5556    2.5386    
SITE386      11     0.6364     0.9091     0.7435     0.7273    1.2792    
SITE388      7      0.4286     1.0000     0.7621     0.7143    1.0000    
SITE389      11     0.7273     0.8182     0.2302     1.0909    2.3741    
SITE397      14     0.5000     0.9286     0.6864     0.7857    1.4880    
SITE401      7      0.5714     0.7143     -0.3295    1.5714    2.6458    
SITE404      6      0.6667     0.8333     0.2750     1.1667    2.1985    
SITE406      6      0.8333     1.0000     0.9818     0.1667    0.4082    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2759     0.6207     -0.4592    1.9310    2.5596    
SITE417      24     0.2917     0.6667     -0.6246    2.1667    3.1491    
SITE420      15     0.2000     0.6000     -0.6822    2.1333    2.8284    
SITE421      11     0.4545     0.8182     0.2991     1.3636    2.3160    
SITE422      13     0.3077     0.9231     0.6472     1.0769    1.4142    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.4667     0.8000     0.4744     1.2000    1.8619    
SITE430      9      0.5556     0.7778     0.3025     1.5556    3.0185    
SITE434      12     0.4167     0.5833     0.2195     1.6667    2.3094    
SITE435      9      0.4444     0.6667     0.3237     1.5556    2.4037    
SITE437      18     0.2778     0.6111     -0.2642    2.1667    2.8577    
SITE438      15     0.1333     0.8667     -0.2406    1.7333    2.4221    
SITE439      13     0.4615     0.6923     0.3868     1.4615    2.2361    
SITE442      19     0.3684     0.7895     0.3034     1.5789    2.3170    
SITE443      6      0.6667     0.6667     0.4101     1.5000    2.6141    
SITE446      18     0.2222     0.4444     -1.9408    4.0000    5.1208    
SITE447      5      0.6000     0.8000     0.7664     0.8000    1.4142    
SITE454      7      0.7143     0.7143     -0.1905    1.4286    2.6726    
SITE455      9      0.4444     0.6667     -0.0674    2.2222    3.3665    
SITE460      4      0.5000     0.7500     -0.3158    2.0000    3.5355    
SITE461      5      0.2000     0.6000     -0.5625    2.8000    3.7417    
SITE463      6      0.5000     0.6667     -0.4579    2.3333    3.6056    
SITE464      8      0.6250     0.7500     0.2058     1.6250    2.9368    
SITE468      6      0.5000     0.6667     -1.3839    2.5000    3.8514    
SITE469      4      0.7500     1.0000     -0.4545    0.5000    1.0000    
SITE471      17     0.4706     0.5882     -0.2442    2.2353    3.3955    
SITE474      6      0.5000     0.8333     0.5200     1.0000    1.7321    
SITE477      14     0.3571     0.7143     -0.0859    1.9286    2.9399    
SITE483      9      0.5556     0.8889     0.7973     0.7778    1.2910    
SITE485      10     0.4000     0.8000     0.5732     1.4000    2.0494    
SITE486      6      0.8333     0.8333     0.4182     0.6667    1.6330    
SITE490      13     0.3846     0.6923     0.3054     1.4615    2.0191    
SITE492      6      0.6667     1.0000     0.8652     0.3333    0.5774    
SITE506      10     0.7000     0.8000     0.1341     1.1000    2.2583    
SITE508      27     0.4815     0.8519     0.3382     1.4074    2.3570    
SITE510      6      0.3333     0.3333     -0.9571    2.6667    3.5590    
SITE520      16     0.5625     0.8125     0.4058     1.1250    2.0616    
SITE521      17     0.4118     0.8235     0.7448     1.2353    1.6977    
SITE522      18     0.5556     0.7222     0.0842     1.6111    2.7789    
SITE528      11     0.7273     0.9091     0.3407     0.7273    1.8586    
SITE538      7      0.7143     0.7143     0.1725     1.7143    3.2514    
SITE539      7      0.4286     0.7143     -0.1106    2.0000    3.0706    
SITE540      6      0.5000     0.6667     0.2416     1.8333    2.7386    
SITE541      9      0.5556     0.5556     0.5447     1.5556    2.4037    
SITE542      8      0.5000     0.7500     0.7444     1.1250    1.6956    
SITE545      9      0.6667     0.7778     0.0385     1.4444    2.8868    
SITE547      7      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE556      6      0.3333     0.6667     0.2520     1.8333    2.7988    
SITE557      19     0.3158     0.7895     0.4953     1.3684    1.9735    
SITE561      15     0.1333     0.5333     -0.2673    2.4667    3.3764    
SITE563      10     0.5000     0.7000     0.0719     1.7000    2.6646    
SITE564      9      0.4444     0.8889     0.7234     1.1111    1.6997    
SITE568      7      0.5714     0.8571     0.7681     0.7143    1.2536    
SITE569      11     0.5455     0.7273     0.3924     1.1818    1.8829    
SITE572      8      0.6250     0.8750     0.8052     0.7500    1.3229    
SITE574      9      0.2222     0.7778     0.5442     1.6667    2.0817    
SITE575      15     0.3333     0.6000     -0.5951    2.3333    3.2762    
SITE577      9      0.6667     0.7778     0.0652     1.5556    3.0912    
SITE578      7      0.7143     0.8571     -0.9621    1.0000    2.2991    
SITE580      6      0.6667     0.6667     -0.4600    1.8333    3.4881    
SITE581      10     0.6000     0.8000     0.3048     1.1000    1.9748    
SITE584      8      0.7500     0.8750     0.8434     0.5000    1.1180    
SITE587      8      0.3750     0.7500     0.5589     1.6250    2.1506    
SITE593      11     0.2727     0.7273     -0.4087    2.1818    2.9233    
SITE595      18     0.4444     0.7778     0.3347     1.3889    2.2236    
SITE597      8      0.7500     1.0000     0.9636     0.2500    0.5000    
SITE598      7      0.5714     0.8571     0.6435     0.7143    1.2536    
SITE601      8      0.6250     0.8750     0.6329     1.0000    2.1794    
SITE602      12     0.2500     0.6667     -0.3375    2.4167    3.4521    
SITE606      15     0.3333     0.6667     -0.0198    2.1333    3.2455    
SITE607      12     0.3333     0.6667     0.1186     2.0000    2.8284    
SITE610      10     0.7000     0.9000     0.8154     0.7000    1.3038    
SITE612      14     0.2857     0.5000     -0.2542    2.2143    3.0355    
SITE616      13     0.1538     0.7692     0.5034     1.7692    2.0939    
SITE617      10     0.6000     0.9000     0.8404     0.7000    1.2247    
SITE620      17     0.3529     0.7059     0.1541     1.8235    2.7116    
SITE622      13     0.3077     0.6154     0.3083     1.6154    2.2014    
SITE623      8      0.5000     1.0000     0.6667     0.5000    0.7071    
SITE624      9      0.2222     0.4444     -1.0179    2.6667    3.3333    
SITE626      10     0.8000     0.9000     0.8561     0.5000    1.3038    
SITE629      13     0.3077     0.6923     -0.4091    2.3846    3.4530    
SITE639      11     0.3636     0.8182     0.2952     1.5455    2.3549    
SITE648      7      0.4286     0.8571     0.7928     1.1429    1.6036    
SITE658      16     0.2500     0.5000     0.2143     2.0625    2.4875    
SITE683      7      0.5714     0.8571     -0.0818    1.0000    1.5584    
SITE684      14     0.4286     0.8571     0.4506     1.4286    2.1044    
SITE692      15     0.2000     0.4667     -0.7073    2.6667    3.3466    
SITE719      16     0.5000     0.8125     0.5121     1.1875    1.9203    
SITE721      12     0.3333     0.7500     0.4427     1.6667    2.2361    
SITE722      14     0.4286     0.7143     0.2580     1.3571    1.9457    
SITE725      9      0.3333     0.7778     -0.3378    2.1111    3.3166    
SITE734      13     0.4615     0.7692     0.2940     1.4615    2.2014    
SITE735      17     0.2353     0.6471     0.2869     1.7647    2.4254    
SITE739      10     0.6000     0.9000     0.8099     0.7000    1.2247    
SITE747      30     0.2000     0.7000     -0.4249    2.2000    3.0221    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.3000     0.8000     0.1027     1.9000    3.1145    
SITE801      8      0.5000     0.8750     0.8222     0.7500    1.2247    
SITE802      9      0.4444     0.5556     -0.9108    2.6667    3.9158    
SITE807      7      0.4286     0.7143     -0.3462    1.7143    2.3905    
SITE808      7      0.4286     0.7143     0.2907     1.7143    2.5635    
SITE821      10     0.5000     0.7000     0.4403     1.4000    2.2804    
SITE831      11     0.4545     0.7273     0.0942     1.7273    2.7469    
SITE844      7      0.7143     1.0000     0.9563     0.2857    0.5345    
SITE852      14     0.4286     0.7857     0.3458     1.4286    2.0702    
SITE871      7      0.2857     0.7143     0.1734     2.0000    3.0237    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.4171     0.7345     0.2367     1.6006    2.4957    
--------------------------------------------------------------------------------------------------------------
