--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE239      15     0.1333     0.6667     -0.6333    2.6667    3.6148    
SITE240      14     0.2857     0.6429     -0.4120    2.3571    3.3058    
SITE241      25     0.2800     0.6000     -0.5833    2.4400    3.4928    
SITE244      12     0.1667     0.4167     -0.5917    3.0833    3.7305    
SITE245      15     0.1333     0.4667     -0.0802    2.5333    3.0551    
SITE251      11     0.0909     0.2727     -1.7564    3.9091    4.4415    
SITE253      30     0.2000     0.6333     -0.3325    2.1667    2.8694    
SITE256      5      0.2000     0.6000     -1.4569    2.6000    3.3764    
SITE258      12     0.0833     0.5833     0.0556     2.0000    2.3805    
SITE259      9      0.2222     0.3333     -0.0705    2.8889    3.4641    
SITE261      15     0.0667     0.2000     -0.7815    3.4667    3.8644    
SITE262      20     0.2500     0.7500     -0.1475    1.8000    2.5100    
SITE268      13     0.2308     0.4615     -0.7346    2.9231    3.7826    
SITE272      13     0.1538     0.3077     -2.5840    4.6923    5.5262    
SITE276      12     0.2500     0.7500     -0.2350    1.5833    2.1016    
SITE301      5      0.8000     1.0000     nan        0.4000    0.8944    
SITE304      5      0.0000     0.4000     -2.5547    5.2000    6.0332    
SITE309      13     0.2308     0.4615     -1.0558    3.3077    4.3056    
SITE310      7      0.0000     0.4286     -0.3850    2.8571    3.2514    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.4444     0.5556     -0.9565    2.4444    3.4960    
SITE324      17     0.2353     0.5294     -0.8985    3.1176    4.0945    
SITE325      8      0.3750     0.5000     -1.1957    3.7500    5.0249    
SITE327      16     0.2500     0.3125     -2.2197    4.4375    5.3444    
SITE330      14     0.2857     0.5714     -0.7557    2.4286    3.3166    
SITE331      7      0.1429     0.5714     -0.6459    2.7143    3.5254    
SITE332      9      0.0000     0.1111     -9.5824    4.6667    4.8762    
SITE333      5      0.0000     0.0000     -20.4167   7.0000    7.1694    
SITE334      12     0.1667     0.5833     -0.3495    2.4167    3.0414    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.4000     0.8000     -1.1250    1.4000    1.8439    
SITE339      8      0.0000     0.2500     -2.8329    4.0000    4.6368    
SITE340      12     0.1667     0.5833     -0.7557    2.4167    3.1754    
SITE343      12     0.2500     0.5000     -0.6151    2.4167    3.1754    
SITE345      7      0.1429     0.4286     -0.2353    2.2857    2.6186    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.3333     0.4444     -0.7735    3.0000    4.0415    
SITE358      14     0.2857     0.4286     -0.3034    2.2857    2.7775    
SITE360      8      0.1250     0.3750     -0.3612    2.3750    2.6693    
SITE361      7      0.0000     0.2857     -3.4568    4.4286    5.0285    
SITE362      11     0.3636     0.6364     -0.1847    2.2727    3.5291    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.3333     0.3333     -1.7535    3.5833    4.5000    
SITE367      8      0.6250     0.6250     -0.4620    1.8750    3.3354    
SITE375      6      0.0000     0.1667     -1.8055    4.5000    4.7784    
SITE376      9      0.1111     0.1111     -4.7407    5.3333    5.8689    
SITE377      12     0.3333     0.5000     -1.3030    2.7500    3.7749    
SITE380      8      0.1250     0.3750     -1.2744    3.3750    4.2279    
SITE383      4      0.2500     0.5000     -2.0000    3.0000    3.6742    
SITE385      9      0.2222     0.5556     0.0000     2.0000    2.4944    
SITE386      11     0.3636     0.5455     -1.4080    2.8182    3.9196    
SITE388      7      0.1429     0.2857     -2.8738    3.4286    4.0356    
