--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE244      9      0.2222     0.2222     -2.5311    5.1111    6.0369    
SITE245      14     0.2143     0.5000     -1.3461    3.3571    4.4320    
SITE251      9      0.2222     0.6667     -0.0020    1.8889    2.5166    
SITE253      25     0.2000     0.6400     -0.3560    2.2400    2.9665    
SITE256      5      0.2000     0.6000     -0.4224    2.2000    2.5690    
SITE258      10     0.2000     0.6000     -0.6279    2.2000    2.8983    
SITE259      6      0.3333     0.3333     -1.4118    4.0000    5.2281    
SITE261      13     0.2308     0.5385     -0.9837    3.0769    4.1510    
SITE262      18     0.2778     0.7778     -0.1397    1.7778    2.5386    
SITE268      12     0.2500     0.5000     -0.6014    2.6667    3.5355    
SITE272      12     0.1667     0.3333     -1.9441    4.0833    5.0249    
SITE276      10     0.3000     0.7000     -0.1538    1.6000    2.1909    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE309      12     0.3333     0.4167     -1.2564    3.5000    4.6904    
SITE310      5      0.4000     0.6000     -1.0588    2.4000    3.3466    
SITE322      8      0.5000     0.6250     -0.6533    1.7500    2.7839    
SITE323      8      0.5000     0.5000     -0.8929    2.5000    3.6401    
SITE324      14     0.3571     0.4286     -1.2018    3.2143    4.3507    
SITE325      6      0.3333     0.6667     -0.4455    3.0000    4.2032    
SITE327      14     0.2143     0.2857     -2.5890    4.5000    5.2982    
SITE330      11     0.2727     0.4545     -1.4821    3.0909    4.0000    
SITE331      6      0.3333     0.3333     -1.5385    3.3333    4.2817    
SITE332      8      0.3750     0.6250     -1.1818    1.6250    2.2079    
SITE333      4      0.5000     0.7500     -0.5814    1.2500    2.0616    
SITE334      9      0.4444     0.4444     -1.1152    2.4444    3.3665    
SITE336      4      0.5000     0.7500     -0.8182    1.5000    2.2361    
SITE339      8      0.2500     0.3750     -1.7409    3.1250    3.9211    
SITE340      9      0.3333     0.5556     -1.0455    2.5556    3.5746    
SITE343      9      0.4444     0.4444     -1.0298    2.4444    3.4319    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE355      8      0.5000     0.6250     -0.5795    2.3750    3.9211    
SITE358      11     0.3636     0.5455     -1.1208    2.0909    2.8762    
SITE360      7      0.4286     0.7143     -0.6213    1.8571    3.0000    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      9      0.5556     0.6667     -0.5000    1.6667    2.8868    
SITE366      9      0.4444     0.5556     -0.9705    2.7778    3.9581    
SITE367      7      0.5714     0.5714     -0.5653    2.1429    3.5657    
SITE375      5      0.6000     0.8000     -0.4167    2.0000    3.6878    
SITE376      8      0.2500     0.3750     -1.5652    3.0000    3.8406    
SITE377      10     0.3000     0.5000     -1.1739    2.7000    3.6742    
SITE380      6      0.3333     0.3333     -1.4272    3.5000    4.5644    
SITE385      8      0.2500     0.5000     -1.2857    3.0000    4.0000    
SITE386      10     0.4000     0.6000     -0.9690    2.5000    3.5637    
